"","Año","Fecha..DD.MM.AAAA.","Metal","Valor","Métrica"
"2",2024,"2024-01-01","Oro",255397.4,"Precio de Venta"
"8",2024,"2024-01-02","Oro",255397.4,"Precio de Venta"
"14",2024,"2024-01-03","Oro",258948.59,"Precio de Venta"
"20",2024,"2024-01-04","Oro",257013.17,"Precio de Venta"
"26",2024,"2024-01-05","Oro",257547.3,"Precio de Venta"
"32",2024,"2024-01-06","Oro",257547.3,"Precio de Venta"
"38",2024,"2024-01-07","Oro",257547.3,"Precio de Venta"
"44",2024,"2024-01-08","Oro",257547.3,"Precio de Venta"
"50",2024,"2024-01-09","Oro",254764.86,"Precio de Venta"
"56",2024,"2024-01-10","Oro",257384.72,"Precio de Venta"
"62",2024,"2024-01-11","Oro",257159.09,"Precio de Venta"
"68",2024,"2024-01-12","Oro",256374.29,"Precio de Venta"
"74",2024,"2024-01-13","Oro",256374.29,"Precio de Venta"
"80",2024,"2024-01-14","Oro",256374.29,"Precio de Venta"
"86",2024,"2024-01-15","Oro",257844.81,"Precio de Venta"
"92",2024,"2024-01-16","Oro",257123.58,"Precio de Venta"
"98",2024,"2024-01-17","Oro",258236.14,"Precio de Venta"
"104",2024,"2024-01-18","Oro",256744.29,"Precio de Venta"
"110",2024,"2024-01-19","Oro",255012.81,"Precio de Venta"
"116",2024,"2024-01-20","Oro",255012.81,"Precio de Venta"
"122",2024,"2024-01-21","Oro",255012.81,"Precio de Venta"
"128",2024,"2024-01-22","Oro",255424.54,"Precio de Venta"
"134",2024,"2024-01-23","Oro",253775.98,"Precio de Venta"
"140",2024,"2024-01-24","Oro",255905.09,"Precio de Venta"
"146",2024,"2024-01-25","Oro",255816.15,"Precio de Venta"
"152",2024,"2024-01-26","Oro",255898.28,"Precio de Venta"
"158",2024,"2024-01-27","Oro",255898.28,"Precio de Venta"
"164",2024,"2024-01-28","Oro",255898.28,"Precio de Venta"
"170",2024,"2024-01-29","Oro",254728.42,"Precio de Venta"
"176",2024,"2024-01-30","Oro",254827.92,"Precio de Venta"
"182",2024,"2024-01-31","Oro",257855.27,"Precio de Venta"
"188",2024,"2024-02-01","Oro",258479.85,"Precio de Venta"
"194",2024,"2024-02-02","Oro",255804.57,"Precio de Venta"
"200",2024,"2024-02-03","Oro",255804.57,"Precio de Venta"
"206",2024,"2024-02-04","Oro",255804.57,"Precio de Venta"
"212",2024,"2024-02-05","Oro",256896.15,"Precio de Venta"
"218",2024,"2024-02-06","Oro",257946.78,"Precio de Venta"
"224",2024,"2024-02-07","Oro",257939.52,"Precio de Venta"
"230",2024,"2024-02-08","Oro",260076.62,"Precio de Venta"
"236",2024,"2024-02-09","Oro",257934.51,"Precio de Venta"
"242",2024,"2024-02-10","Oro",257934.51,"Precio de Venta"
"248",2024,"2024-02-11","Oro",257934.51,"Precio de Venta"
"254",2024,"2024-02-12","Oro",255419.08,"Precio de Venta"
"260",2024,"2024-02-13","Oro",253671.66,"Precio de Venta"
"266",2024,"2024-02-14","Oro",252147.87,"Precio de Venta"
"272",2024,"2024-02-15","Oro",249967.58,"Precio de Venta"
"278",2024,"2024-02-16","Oro",251920.82,"Precio de Venta"
"284",2023,"2023-01-01","Oro",280499.14,"Precio de Venta"
"290",2023,"2023-01-02","Oro",280499.14,"Precio de Venta"
"296",2023,"2023-01-03","Oro",280499.14,"Precio de Venta"
"302",2023,"2023-01-04","Oro",286961.29,"Precio de Venta"
"308",2023,"2023-01-05","Oro",294029.62,"Precio de Venta"
"314",2023,"2023-01-06","Oro",294207.88,"Precio de Venta"
"320",2023,"2023-01-07","Oro",294207.88,"Precio de Venta"
"326",2023,"2023-01-08","Oro",294207.88,"Precio de Venta"
"332",2023,"2023-01-09","Oro",294207.88,"Precio de Venta"
"338",2023,"2023-01-10","Oro",295125.22,"Precio de Venta"
"344",2023,"2023-01-11","Oro",290394.08,"Precio de Venta"
"350",2023,"2023-01-12","Oro",285849.94,"Precio de Venta"
"356",2023,"2023-01-13","Oro",283987.48,"Precio de Venta"
"362",2023,"2023-01-14","Oro",283987.48,"Precio de Venta"
"368",2023,"2023-01-15","Oro",283987.48,"Precio de Venta"
"374",2023,"2023-01-16","Oro",287818.02,"Precio de Venta"
"380",2023,"2023-01-17","Oro",289304.54,"Precio de Venta"
"386",2023,"2023-01-18","Oro",288643.17,"Precio de Venta"
"392",2023,"2023-01-19","Oro",290398.93,"Precio de Venta"
"398",2023,"2023-01-20","Oro",288920.52,"Precio de Venta"
"404",2023,"2023-01-21","Oro",288920.52,"Precio de Venta"
"410",2023,"2023-01-22","Oro",288920.52,"Precio de Venta"
"416",2023,"2023-01-23","Oro",286638.12,"Precio de Venta"
"422",2023,"2023-01-24","Oro",280178.29,"Precio de Venta"
"428",2023,"2023-01-25","Oro",280727.86,"Precio de Venta"
"434",2023,"2023-01-26","Oro",281760.32,"Precio de Venta"
"440",2023,"2023-01-27","Oro",281556.26,"Precio de Venta"
"446",2023,"2023-01-28","Oro",281556.26,"Precio de Venta"
"452",2023,"2023-01-29","Oro",281556.26,"Precio de Venta"
"458",2023,"2023-01-30","Oro",281222.3,"Precio de Venta"
"464",2023,"2023-01-31","Oro",286553.63,"Precio de Venta"
"470",2023,"2023-02-01","Oro",287544.45,"Precio de Venta"
"476",2023,"2023-02-02","Oro",287245.23,"Precio de Venta"
"482",2023,"2023-02-03","Oro",283238.03,"Precio de Venta"
"488",2023,"2023-02-04","Oro",283238.03,"Precio de Venta"
"494",2023,"2023-02-05","Oro",283238.03,"Precio de Venta"
"500",2023,"2023-02-06","Oro",281556.79,"Precio de Venta"
"506",2023,"2023-02-07","Oro",287656.22,"Precio de Venta"
"512",2023,"2023-02-08","Oro",287249,"Precio de Venta"
"518",2023,"2023-02-09","Oro",287178.76,"Precio de Venta"
"524",2023,"2023-02-10","Oro",286488.37,"Precio de Venta"
"530",2023,"2023-02-11","Oro",286488.37,"Precio de Venta"
"536",2023,"2023-02-12","Oro",286488.37,"Precio de Venta"
"542",2023,"2023-02-13","Oro",285663.97,"Precio de Venta"
"548",2023,"2023-02-14","Oro",287543.35,"Precio de Venta"
"554",2023,"2023-02-15","Oro",286608.56,"Precio de Venta"
"560",2023,"2023-02-16","Oro",287203.63,"Precio de Venta"
"566",2023,"2023-02-17","Oro",292030.61,"Precio de Venta"
"572",2023,"2023-02-18","Oro",292030.61,"Precio de Venta"
"578",2023,"2023-02-19","Oro",292030.61,"Precio de Venta"
"584",2023,"2023-02-20","Oro",290034.72,"Precio de Venta"
"590",2023,"2023-02-21","Oro",291908.77,"Precio de Venta"
"596",2023,"2023-02-22","Oro",292347.12,"Precio de Venta"
"602",2023,"2023-02-23","Oro",290671.74,"Precio de Venta"
"608",2023,"2023-02-24","Oro",284966.93,"Precio de Venta"
"614",2023,"2023-02-25","Oro",284966.93,"Precio de Venta"
"620",2023,"2023-02-26","Oro",284966.93,"Precio de Venta"
"626",2023,"2023-02-27","Oro",282363.03,"Precio de Venta"
"632",2023,"2023-02-28","Oro",281136.48,"Precio de Venta"
"638",2023,"2023-03-01","Oro",282406.48,"Precio de Venta"
"644",2023,"2023-03-02","Oro",287035.9,"Precio de Venta"
"650",2023,"2023-03-03","Oro",286664.84,"Precio de Venta"
"656",2023,"2023-03-04","Oro",286664.84,"Precio de Venta"
"662",2023,"2023-03-05","Oro",286664.84,"Precio de Venta"
"668",2023,"2023-03-06","Oro",283001.61,"Precio de Venta"
"674",2023,"2023-03-07","Oro",281453.34,"Precio de Venta"
"680",2023,"2023-03-08","Oro",278646.88,"Precio de Venta"
"686",2023,"2023-03-09","Oro",277704.53,"Precio de Venta"
"692",2023,"2023-03-10","Oro",279602.27,"Precio de Venta"
"698",2023,"2023-03-11","Oro",279602.27,"Precio de Venta"
"704",2023,"2023-03-12","Oro",279602.27,"Precio de Venta"
"710",2023,"2023-03-13","Oro",284131.38,"Precio de Venta"
"716",2023,"2023-03-14","Oro",293100.37,"Precio de Venta"
"722",2023,"2023-03-15","Oro",290456.67,"Precio de Venta"
"728",2023,"2023-03-16","Oro",299021.81,"Precio de Venta"
"734",2023,"2023-03-17","Oro",300836.5,"Precio de Venta"
"740",2023,"2023-03-18","Oro",300836.5,"Precio de Venta"
"746",2023,"2023-03-19","Oro",300836.5,"Precio de Venta"
"752",2023,"2023-03-20","Oro",300836.5,"Precio de Venta"
"758",2023,"2023-03-21","Oro",305452.5,"Precio de Venta"
"764",2023,"2023-03-22","Oro",301586.04,"Precio de Venta"
"770",2023,"2023-03-23","Oro",299332.11,"Precio de Venta"
"776",2023,"2023-03-24","Oro",302390.24,"Precio de Venta"
"782",2023,"2023-03-25","Oro",302390.24,"Precio de Venta"
"788",2023,"2023-03-26","Oro",302390.24,"Precio de Venta"
"794",2023,"2023-03-27","Oro",303956.99,"Precio de Venta"
"800",2023,"2023-03-28","Oro",293270.79,"Precio de Venta"
"806",2023,"2023-03-29","Oro",294002.63,"Precio de Venta"
"812",2023,"2023-03-30","Oro",292356.1,"Precio de Venta"
"818",2023,"2023-03-31","Oro",292452.37,"Precio de Venta"
"824",2023,"2023-04-01","Oro",292452.37,"Precio de Venta"
"830",2023,"2023-04-02","Oro",292452.37,"Precio de Venta"
"836",2023,"2023-04-03","Oro",295717.51,"Precio de Venta"
"842",2023,"2023-04-04","Oro",293508.28,"Precio de Venta"
"848",2023,"2023-04-05","Oro",296386.68,"Precio de Venta"
"854",2023,"2023-04-06","Oro",296386.68,"Precio de Venta"
"860",2023,"2023-04-07","Oro",296386.68,"Precio de Venta"
"866",2023,"2023-04-08","Oro",296386.68,"Precio de Venta"
"872",2023,"2023-04-09","Oro",296386.68,"Precio de Venta"
"878",2023,"2023-04-10","Oro",294195.5,"Precio de Venta"
"884",2023,"2023-04-11","Oro",293766.2,"Precio de Venta"
"890",2023,"2023-04-12","Oro",290826.44,"Precio de Venta"
"896",2023,"2023-04-13","Oro",287887.46,"Precio de Venta"
"902",2023,"2023-04-14","Oro",291362.35,"Precio de Venta"
"908",2023,"2023-04-15","Oro",291362.35,"Precio de Venta"
"914",2023,"2023-04-16","Oro",291362.35,"Precio de Venta"
"920",2023,"2023-04-17","Oro",287311.56,"Precio de Venta"
"926",2023,"2023-04-18","Oro",284314.78,"Precio de Venta"
"932",2023,"2023-04-19","Oro",287538.74,"Precio de Venta"
"938",2023,"2023-04-20","Oro",290064.9,"Precio de Venta"
"944",2023,"2023-04-21","Oro",292700.04,"Precio de Venta"
"950",2023,"2023-04-22","Oro",292700.04,"Precio de Venta"
"956",2023,"2023-04-23","Oro",292700.04,"Precio de Venta"
"962",2023,"2023-04-24","Oro",287044.45,"Precio de Venta"
"968",2023,"2023-04-25","Oro",285086.48,"Precio de Venta"
"974",2023,"2023-04-26","Oro",286677.5,"Precio de Venta"
"980",2023,"2023-04-27","Oro",293177.38,"Precio de Venta"
"986",2023,"2023-04-28","Oro",297120.84,"Precio de Venta"
"992",2023,"2023-04-29","Oro",297120.84,"Precio de Venta"
"998",2023,"2023-04-30","Oro",297120.84,"Precio de Venta"
"1004",2023,"2023-05-01","Oro",297120.84,"Precio de Venta"
"1010",2023,"2023-05-02","Oro",297604.16,"Precio de Venta"
"1016",2023,"2023-05-03","Oro",302360.99,"Precio de Venta"
"1022",2023,"2023-05-04","Oro",302246.52,"Precio de Venta"
"1028",2023,"2023-05-05","Oro",303487.59,"Precio de Venta"
"1034",2023,"2023-05-06","Oro",303487.59,"Precio de Venta"
"1040",2023,"2023-05-07","Oro",303487.59,"Precio de Venta"
"1046",2023,"2023-05-08","Oro",292875.4,"Precio de Venta"
"1052",2023,"2023-05-09","Oro",288888.1,"Precio de Venta"
"1058",2023,"2023-05-10","Oro",296359.04,"Precio de Venta"
"1064",2023,"2023-05-11","Oro",297704.32,"Precio de Venta"
"1070",2023,"2023-05-12","Oro",298220.25,"Precio de Venta"
"1076",2023,"2023-05-13","Oro",298220.25,"Precio de Venta"
"1082",2023,"2023-05-14","Oro",298220.25,"Precio de Venta"
"1088",2023,"2023-05-15","Oro",296420.58,"Precio de Venta"
"1094",2023,"2023-05-16","Oro",292657.23,"Precio de Venta"
"1100",2023,"2023-05-17","Oro",292472.72,"Precio de Venta"
"1106",2023,"2023-05-18","Oro",287449.34,"Precio de Venta"
"1112",2023,"2023-05-19","Oro",284976.79,"Precio de Venta"
"1118",2023,"2023-05-20","Oro",284976.79,"Precio de Venta"
"1124",2023,"2023-05-21","Oro",284976.79,"Precio de Venta"
"1130",2023,"2023-05-22","Oro",284976.79,"Precio de Venta"
"1136",2023,"2023-05-23","Oro",286875.86,"Precio de Venta"
"1142",2023,"2023-05-24","Oro",285015.16,"Precio de Venta"
"1148",2023,"2023-05-25","Oro",281731.63,"Precio de Venta"
"1154",2023,"2023-05-26","Oro",280042.42,"Precio de Venta"
"1160",2023,"2023-05-27","Oro",280042.42,"Precio de Venta"
"1166",2023,"2023-05-28","Oro",280042.42,"Precio de Venta"
"1172",2023,"2023-05-29","Oro",279417.82,"Precio de Venta"
"1178",2023,"2023-05-30","Oro",279417.82,"Precio de Venta"
"1184",2023,"2023-05-31","Oro",276742.92,"Precio de Venta"
"1190",2023,"2023-06-01","Oro",280043.44,"Precio de Venta"
"1196",2023,"2023-06-02","Oro",279963.85,"Precio de Venta"
"1202",2023,"2023-06-03","Oro",279963.85,"Precio de Venta"
"1208",2023,"2023-06-04","Oro",279963.85,"Precio de Venta"
"1214",2023,"2023-06-05","Oro",274937.84,"Precio de Venta"
"1220",2023,"2023-06-06","Oro",271360.34,"Precio de Venta"
"1226",2023,"2023-06-07","Oro",267125.27,"Precio de Venta"
"1232",2023,"2023-06-08","Oro",266235.51,"Precio de Venta"
"1238",2023,"2023-06-09","Oro",264263.42,"Precio de Venta"
"1244",2023,"2023-06-10","Oro",264263.42,"Precio de Venta"
"1250",2023,"2023-06-11","Oro",264263.42,"Precio de Venta"
"1256",2023,"2023-06-12","Oro",264263.42,"Precio de Venta"
"1262",2023,"2023-06-13","Oro",262052.34,"Precio de Venta"
"1268",2023,"2023-06-14","Oro",263047.86,"Precio de Venta"
"1274",2023,"2023-06-15","Oro",262986.66,"Precio de Venta"
"1280",2023,"2023-06-16","Oro",261413.62,"Precio de Venta"
"1286",2023,"2023-06-17","Oro",261413.62,"Precio de Venta"
"1292",2023,"2023-06-18","Oro",261413.62,"Precio de Venta"
"1298",2023,"2023-06-19","Oro",261413.62,"Precio de Venta"
"1304",2023,"2023-06-20","Oro",260064.82,"Precio de Venta"
"1310",2023,"2023-06-21","Oro",257520.5,"Precio de Venta"
"1316",2023,"2023-06-22","Oro",257439.24,"Precio de Venta"
"1322",2023,"2023-06-23","Oro",253985.53,"Precio de Venta"
"1328",2023,"2023-06-24","Oro",253985.53,"Precio de Venta"
"1334",2023,"2023-06-25","Oro",253985.53,"Precio de Venta"
"1340",2023,"2023-06-26","Oro",258776.7,"Precio de Venta"
"1346",2023,"2023-06-27","Oro",257944.53,"Precio de Venta"
"1352",2023,"2023-06-28","Oro",256183.33,"Precio de Venta"
"1358",2023,"2023-06-29","Oro",255831.95,"Precio de Venta"
"1364",2023,"2023-06-30","Oro",255976.33,"Precio de Venta"
"1370",2023,"2023-07-01","Oro",255976.33,"Precio de Venta"
"1376",2023,"2023-07-02","Oro",255976.33,"Precio de Venta"
"1382",2023,"2023-07-03","Oro",255976.33,"Precio de Venta"
"1388",2023,"2023-07-04","Oro",259054.83,"Precio de Venta"
"1394",2023,"2023-07-05","Oro",258920.52,"Precio de Venta"
"1400",2023,"2023-07-06","Oro",255441.14,"Precio de Venta"
"1406",2023,"2023-07-07","Oro",257501.42,"Precio de Venta"
"1412",2023,"2023-07-08","Oro",257501.42,"Precio de Venta"
"1418",2023,"2023-07-09","Oro",257501.42,"Precio de Venta"
"1424",2023,"2023-07-10","Oro",258953.64,"Precio de Venta"
"1430",2023,"2023-07-11","Oro",256801.68,"Precio de Venta"
"1436",2023,"2023-07-12","Oro",260748.72,"Precio de Venta"
"1442",2023,"2023-07-13","Oro",259280.64,"Precio de Venta"
"1448",2023,"2023-07-14","Oro",258240.39,"Precio de Venta"
"1454",2023,"2023-07-15","Oro",258240.39,"Precio de Venta"
"1460",2023,"2023-07-16","Oro",258240.39,"Precio de Venta"
"1466",2023,"2023-07-17","Oro",256860.8,"Precio de Venta"
"1472",2023,"2023-07-18","Oro",255073.77,"Precio de Venta"
"1478",2023,"2023-07-19","Oro",253428.89,"Precio de Venta"
"1484",2023,"2023-07-20","Oro",253428.89,"Precio de Venta"
"1490",2023,"2023-07-21","Oro",252874.36,"Precio de Venta"
"1496",2023,"2023-07-22","Oro",252874.36,"Precio de Venta"
"1502",2023,"2023-07-23","Oro",252874.36,"Precio de Venta"
"1508",2023,"2023-07-24","Oro",250334.91,"Precio de Venta"
"1514",2023,"2023-07-25","Oro",248947.58,"Precio de Venta"
"1520",2023,"2023-07-26","Oro",250561.47,"Precio de Venta"
"1526",2023,"2023-07-27","Oro",249780.64,"Precio de Venta"
"1532",2023,"2023-07-28","Oro",245927.25,"Precio de Venta"
"1538",2023,"2023-07-29","Oro",245927.25,"Precio de Venta"
"1544",2023,"2023-07-30","Oro",245927.25,"Precio de Venta"
"1550",2023,"2023-07-31","Oro",246515.17,"Precio de Venta"
"1556",2023,"2023-08-01","Oro",246999.33,"Precio de Venta"
"1562",2023,"2023-08-02","Oro",250881.46,"Precio de Venta"
"1568",2023,"2023-08-03","Oro",253592.18,"Precio de Venta"
"1574",2023,"2023-08-04","Oro",257940.98,"Precio de Venta"
"1580",2023,"2023-08-05","Oro",257940.98,"Precio de Venta"
"1586",2023,"2023-08-06","Oro",257940.98,"Precio de Venta"
"1592",2023,"2023-08-07","Oro",257940.98,"Precio de Venta"
"1598",2023,"2023-08-08","Oro",253260.36,"Precio de Venta"
"1604",2023,"2023-08-09","Oro",252476.31,"Precio de Venta"
"1610",2023,"2023-08-10","Oro",249227.88,"Precio de Venta"
"1616",2023,"2023-08-11","Oro",244268.51,"Precio de Venta"
"1622",2023,"2023-08-12","Oro",244268.51,"Precio de Venta"
"1628",2023,"2023-08-13","Oro",244268.51,"Precio de Venta"
"1634",2023,"2023-08-14","Oro",244739.76,"Precio de Venta"
"1640",2023,"2023-08-15","Oro",246661.04,"Precio de Venta"
"1646",2023,"2023-08-16","Oro",250721.82,"Precio de Venta"
"1652",2023,"2023-08-17","Oro",252864.75,"Precio de Venta"
"1658",2023,"2023-08-18","Oro",249604.88,"Precio de Venta"
"1664",2023,"2023-08-19","Oro",249604.88,"Precio de Venta"
"1670",2023,"2023-08-20","Oro",249604.88,"Precio de Venta"
"1676",2023,"2023-08-21","Oro",249604.88,"Precio de Venta"
"1682",2023,"2023-08-22","Oro",250576.99,"Precio de Venta"
"1688",2023,"2023-08-23","Oro",250719.91,"Precio de Venta"
"1694",2023,"2023-08-24","Oro",251779.55,"Precio de Venta"
"1700",2023,"2023-08-25","Oro",251278,"Precio de Venta"
"1706",2023,"2023-08-26","Oro",251278,"Precio de Venta"
"1712",2023,"2023-08-27","Oro",251278,"Precio de Venta"
"1718",2023,"2023-08-28","Oro",253592.42,"Precio de Venta"
"1724",2023,"2023-08-29","Oro",253206.9,"Precio de Venta"
"1730",2023,"2023-08-30","Oro",255034.28,"Precio de Venta"
"1736",2023,"2023-08-31","Oro",255803.65,"Precio de Venta"
"1742",2023,"2023-09-01","Oro",255980.21,"Precio de Venta"
"1748",2023,"2023-09-02","Oro",255980.21,"Precio de Venta"
"1754",2023,"2023-09-03","Oro",255980.21,"Precio de Venta"
"1760",2023,"2023-09-04","Oro",253513.51,"Precio de Venta"
"1766",2023,"2023-09-05","Oro",253075.87,"Precio de Venta"
"1772",2023,"2023-09-06","Oro",253242.02,"Precio de Venta"
"1778",2023,"2023-09-07","Oro",252930.76,"Precio de Venta"
"1784",2023,"2023-09-08","Oro",249532.12,"Precio de Venta"
"1790",2023,"2023-09-09","Oro",249532.12,"Precio de Venta"
"1796",2023,"2023-09-10","Oro",249532.12,"Precio de Venta"
"1802",2023,"2023-09-11","Oro",248680.66,"Precio de Venta"
"1808",2023,"2023-09-12","Oro",247414.4,"Precio de Venta"
"1814",2023,"2023-09-13","Oro",245048.17,"Precio de Venta"
"1820",2023,"2023-09-14","Oro",243100.45,"Precio de Venta"
"1826",2023,"2023-09-15","Oro",240082.2,"Precio de Venta"
"1832",2023,"2023-09-16","Oro",240082.2,"Precio de Venta"
"1838",2023,"2023-09-17","Oro",240082.2,"Precio de Venta"
"1844",2023,"2023-09-18","Oro",243462.94,"Precio de Venta"
"1850",2023,"2023-09-19","Oro",241551.56,"Precio de Venta"
"1856",2023,"2023-09-20","Oro",242771.03,"Precio de Venta"
"1862",2023,"2023-09-21","Oro",244123.03,"Precio de Venta"
"1868",2023,"2023-09-22","Oro",243088.49,"Precio de Venta"
"1874",2023,"2023-09-23","Oro",243088.49,"Precio de Venta"
"1880",2023,"2023-09-24","Oro",243088.49,"Precio de Venta"
"1886",2023,"2023-09-25","Oro",244684.07,"Precio de Venta"
"1892",2023,"2023-09-26","Oro",250792.87,"Precio de Venta"
"1898",2023,"2023-09-27","Oro",249466.32,"Precio de Venta"
"1904",2023,"2023-09-28","Oro",248391.84,"Precio de Venta"
"1910",2023,"2023-09-29","Oro",246098.47,"Precio de Venta"
"1916",2023,"2023-09-30","Oro",246098.47,"Precio de Venta"
"1922",2023,"2023-10-01","Oro",246098.47,"Precio de Venta"
"1928",2023,"2023-10-02","Oro",243784.85,"Precio de Venta"
"1934",2023,"2023-10-03","Oro",244070.68,"Precio de Venta"
"1940",2023,"2023-10-04","Oro",245329.96,"Precio de Venta"
"1946",2023,"2023-10-05","Oro",248664.73,"Precio de Venta"
"1952",2023,"2023-10-06","Oro",255010.36,"Precio de Venta"
"1958",2023,"2023-10-07","Oro",255010.36,"Precio de Venta"
"1964",2023,"2023-10-08","Oro",255010.36,"Precio de Venta"
"1970",2023,"2023-10-09","Oro",256626.13,"Precio de Venta"
"1976",2023,"2023-10-10","Oro",260278.92,"Precio de Venta"
"1982",2023,"2023-10-11","Oro",252665.22,"Precio de Venta"
"1988",2023,"2023-10-12","Oro",253432.73,"Precio de Venta"
"1994",2023,"2023-10-13","Oro",254896.31,"Precio de Venta"
"2000",2023,"2023-10-14","Oro",254896.31,"Precio de Venta"
"2006",2023,"2023-10-15","Oro",254896.31,"Precio de Venta"
"2012",2023,"2023-10-16","Oro",254896.31,"Precio de Venta"
"2018",2023,"2023-10-17","Oro",262021.92,"Precio de Venta"
"2024",2023,"2023-10-18","Oro",261740.27,"Precio de Venta"
"2030",2023,"2023-10-19","Oro",265806.46,"Precio de Venta"
"2036",2023,"2023-10-20","Oro",266916.12,"Precio de Venta"
"2042",2023,"2023-10-21","Oro",266916.12,"Precio de Venta"
"2048",2023,"2023-10-22","Oro",266916.12,"Precio de Venta"
"2054",2023,"2023-10-23","Oro",270997.08,"Precio de Venta"
"2060",2023,"2023-10-24","Oro",267777.16,"Precio de Venta"
"2066",2023,"2023-10-25","Oro",266039.73,"Precio de Venta"
"2072",2023,"2023-10-26","Oro",267908.72,"Precio de Venta"
"2078",2023,"2023-10-27","Oro",263829.18,"Precio de Venta"
"2084",2023,"2023-10-28","Oro",263829.18,"Precio de Venta"
"2090",2023,"2023-10-29","Oro",263829.18,"Precio de Venta"
"2096",2023,"2023-10-30","Oro",262696.54,"Precio de Venta"
"2102",2023,"2023-10-31","Oro",260804.04,"Precio de Venta"
"2108",2023,"2023-11-01","Oro",264144.88,"Precio de Venta"
"2114",2023,"2023-11-02","Oro",262967.76,"Precio de Venta"
"2120",2023,"2023-11-03","Oro",258101.24,"Precio de Venta"
"2126",2023,"2023-11-04","Oro",258101.24,"Precio de Venta"
"2132",2023,"2023-11-05","Oro",258101.24,"Precio de Venta"
"2138",2023,"2023-11-06","Oro",258101.24,"Precio de Venta"
"2144",2023,"2023-11-07","Oro",253636.02,"Precio de Venta"
"2150",2023,"2023-11-08","Oro",252470.8,"Precio de Venta"
"2156",2023,"2023-11-09","Oro",256122.62,"Precio de Venta"
"2162",2023,"2023-11-10","Oro",255317.3,"Precio de Venta"
"2168",2023,"2023-11-11","Oro",255317.3,"Precio de Venta"
"2174",2023,"2023-11-12","Oro",255317.3,"Precio de Venta"
"2180",2023,"2023-11-13","Oro",255317.3,"Precio de Venta"
"2186",2023,"2023-11-14","Oro",250660.66,"Precio de Venta"
"2192",2023,"2023-11-15","Oro",250919.41,"Precio de Venta"
"2198",2023,"2023-11-16","Oro",250372.22,"Precio de Venta"
"2204",2023,"2023-11-17","Oro",259576.68,"Precio de Venta"
"2210",2023,"2023-11-18","Oro",259576.68,"Precio de Venta"
"2216",2023,"2023-11-19","Oro",259576.68,"Precio de Venta"
"2222",2023,"2023-11-20","Oro",262194.77,"Precio de Venta"
"2228",2023,"2023-11-21","Oro",255321.92,"Precio de Venta"
"2234",2023,"2023-11-22","Oro",261935.2,"Precio de Venta"
"2240",2023,"2023-11-23","Oro",262820.53,"Precio de Venta"
"2246",2023,"2023-11-24","Oro",262202.14,"Precio de Venta"
"2252",2023,"2023-11-25","Oro",262202.14,"Precio de Venta"
"2258",2023,"2023-11-26","Oro",262202.14,"Precio de Venta"
"2264",2023,"2023-11-27","Oro",260178.51,"Precio de Venta"
"2270",2023,"2023-11-28","Oro",258313.24,"Precio de Venta"
"2276",2023,"2023-11-29","Oro",257754.31,"Precio de Venta"
"2282",2023,"2023-11-30","Oro",261971.7,"Precio de Venta"
"2288",2023,"2023-12-01","Oro",264724.15,"Precio de Venta"
"2294",2023,"2023-12-02","Oro",264724.15,"Precio de Venta"
"2300",2023,"2023-12-03","Oro",264724.15,"Precio de Venta"
"2306",2023,"2023-12-04","Oro",261936.42,"Precio de Venta"
"2312",2023,"2023-12-05","Oro",263507.97,"Precio de Venta"
"2318",2023,"2023-12-06","Oro",261718.66,"Precio de Venta"
"2324",2023,"2023-12-07","Oro",259920.22,"Precio de Venta"
"2330",2023,"2023-12-08","Oro",259920.22,"Precio de Venta"
"2336",2023,"2023-12-09","Oro",259920.22,"Precio de Venta"
"2342",2023,"2023-12-10","Oro",259920.22,"Precio de Venta"
"2348",2023,"2023-12-11","Oro",258151.41,"Precio de Venta"
"2354",2023,"2023-12-12","Oro",254371.31,"Precio de Venta"
"2360",2023,"2023-12-13","Oro",254162.36,"Precio de Venta"
"2366",2023,"2023-12-14","Oro",254919.04,"Precio de Venta"
"2372",2023,"2023-12-15","Oro",260232.14,"Precio de Venta"
"2378",2023,"2023-12-16","Oro",260232.14,"Precio de Venta"
"2384",2023,"2023-12-17","Oro",260232.14,"Precio de Venta"
"2390",2023,"2023-12-18","Oro",258534.5,"Precio de Venta"
"2396",2023,"2023-12-19","Oro",255899.49,"Precio de Venta"
"2402",2023,"2023-12-20","Oro",257651.87,"Precio de Venta"
"2408",2023,"2023-12-21","Oro",258409.99,"Precio de Venta"
"2414",2023,"2023-12-22","Oro",258829.03,"Precio de Venta"
"2420",2023,"2023-12-23","Oro",258829.03,"Precio de Venta"
"2426",2023,"2023-12-24","Oro",258829.03,"Precio de Venta"
"2432",2023,"2023-12-25","Oro",258829.03,"Precio de Venta"
"2438",2023,"2023-12-26","Oro",257017.31,"Precio de Venta"
"2444",2023,"2023-12-27","Oro",254130.36,"Precio de Venta"
"2450",2023,"2023-12-28","Oro",255805.75,"Precio de Venta"
"2456",2023,"2023-12-29","Oro",255397.4,"Precio de Venta"
"2462",2023,"2023-12-30","Oro",255397.4,"Precio de Venta"
"2468",2023,"2023-12-31","Oro",255397.4,"Precio de Venta"
"2474",2022,"2022-01-01","Oro",232111.88,"Precio de Venta"
"2480",2022,"2022-01-02","Oro",232111.88,"Precio de Venta"
"2486",2022,"2022-01-03","Oro",231143.82,"Precio de Venta"
